checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,60,critical/other existing credit,new car,13756,no known savings,greater 7 years,2,male single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,60,all paid,other,14782,between 100 and 500,greater 7 years,3,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,48,all paid,business,7685,less 100,between 4 and 7 years,2,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
no checking,18,delayed previously,radio/tv,2320,less 100,unemployed,2,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes,good
no checking,7,delayed previously,radio/tv,846,no known savings,greater 7 years,3,male single,none,4,no known property,36,none,for free,1,skilled,1,none,yes,good
between 0 and 200,36,existing paid,new car,14318,less 100,greater 7 years,4,male single,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,6,critical/other existing credit,new car,362,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,none,yes,good
less 0,20,existing paid,furniture/equipment,2212,no known savings,between 4 and 7 years,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,good
between 0 and 200,18,existing paid,used car,12976,less 100,unemployed,3,female div/dep/mar,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,22,existing paid,new car,1283,no known savings,between 4 and 7 years,4,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,good
greater 200,12,existing paid,new car,1330,less 100,less 1 year,4,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,30,delayed previously,business,4272,between 100 and 500,between 1 and 4 years,2,male single,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,2238,less 100,between 1 and 4 years,2,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,radio/tv,1126,no known savings,less 1 year,4,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,18,critical/other existing credit,furniture/equipment,7374,less 100,unemployed,4,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,15,critical/other existing credit,business,2326,between 500 and 1000,between 1 and 4 years,2,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,good
no checking,9,existing paid,business,1449,less 100,between 4 and 7 years,3,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,new car,1820,less 100,between 1 and 4 years,2,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,12,existing paid,furniture/equipment,983,greater 1000,less 1 year,1,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,good
less 0,36,existing paid,new car,3249,less 100,between 4 and 7 years,2,male single,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
less 0,6,critical/other existing credit,radio/tv,1957,less 100,between 4 and 7 years,1,female div/dep/mar,none,4,car,31,none,own,1,skilled,1,none,yes,good
no checking,9,critical/other existing credit,furniture/equipment,2406,less 100,unemployed,2,male single,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
between 0 and 200,39,delayed previously,education,11760,between 100 and 500,between 4 and 7 years,2,male single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good
less 0,12,existing paid,furniture/equipment,2578,less 100,unemployed,3,female div/dep/mar,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
less 0,36,critical/other existing credit,furniture/equipment,2348,less 100,between 1 and 4 years,3,male mar/wid,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,good
between 0 and 200,12,existing paid,new car,1223,less 100,greater 7 years,1,male div/sep,none,1,real estate,46,none,rent,2,skilled,1,none,yes,bad
no checking,24,critical/other existing credit,radio/tv,1516,greater 1000,between 1 and 4 years,4,female div/dep/mar,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,good
no checking,18,existing paid,radio/tv,1473,less 100,less 1 year,3,male mar/wid,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good
between 0 and 200,18,critical/other existing credit,business,1887,no known savings,between 1 and 4 years,4,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,none,yes,good
no checking,24,delayed previously,business,8648,less 100,less 1 year,2,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
no checking,14,delayed previously,new car,802,less 100,between 1 and 4 years,4,male single,none,2,car,27,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,18,delayed previously,new car,2899,no known savings,greater 7 years,4,male single,none,4,car,43,none,own,1,skilled,2,none,yes,good
between 0 and 200,24,existing paid,radio/tv,2039,less 100,less 1 year,1,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad
no checking,24,critical/other existing credit,used car,2197,no known savings,between 4 and 7 years,4,male single,none,4,car,43,none,own,2,skilled,2,yes,yes,good
less 0,15,existing paid,radio/tv,1053,less 100,less 1 year,4,male mar/wid,none,2,real estate,27,none,own,1,skilled,1,none,no,good
no checking,24,existing paid,radio/tv,3235,between 500 and 1000,greater 7 years,3,male div/sep,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,12,critical/other existing credit,new car,939,between 500 and 1000,between 4 and 7 years,4,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad
between 0 and 200,24,existing paid,radio/tv,1967,less 100,greater 7 years,4,female div/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes,good
no checking,33,critical/other existing credit,used car,7253,less 100,between 4 and 7 years,3,male single,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,critical/other existing credit,business,2292,less 100,unemployed,4,male single,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,10,existing paid,new car,1597,between 500 and 1000,between 1 and 4 years,3,male single,none,2,no known property,40,none,rent,1,unskilled resident,2,none,no,good
less 0,24,existing paid,new car,1381,no known savings,between 1 and 4 years,4,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,none,yes,bad
no checking,36,critical/other existing credit,used car,5842,less 100,greater 7 years,2,male single,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,good
less 0,12,existing paid,new car,2579,less 100,less 1 year,4,male single,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,bad
less 0,18,delayed previously,education,8471,no known savings,between 1 and 4 years,1,female div/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
no checking,21,existing paid,new car,2782,between 500 and 1000,between 4 and 7 years,1,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
between 0 and 200,18,existing paid,new car,1042,no known savings,between 1 and 4 years,4,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,none,yes,bad
no checking,15,existing paid,new car,3186,greater 1000,between 4 and 7 years,2,female div/dep/mar,none,3,car,20,none,rent,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,used car,2028,no known savings,between 1 and 4 years,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
between 0 and 200,12,critical/other existing credit,new car,958,less 100,between 4 and 7 years,2,male single,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,good
no checking,21,delayed previously,furniture/equipment,1591,between 100 and 500,between 4 and 7 years,4,male single,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
between 0 and 200,12,existing paid,furniture/equipment,2762,no known savings,greater 7 years,1,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
between 0 and 200,18,existing paid,used car,2779,less 100,between 1 and 4 years,1,male mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
no checking,28,critical/other existing credit,radio/tv,2743,less 100,greater 7 years,4,male single,none,2,car,29,none,own,2,skilled,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1149,greater 1000,between 1 and 4 years,4,male single,none,3,real estate,46,none,own,2,skilled,1,none,yes,good
no checking,9,existing paid,furniture/equipment,1313,less 100,greater 7 years,1,male single,none,4,car,20,none,own,1,skilled,1,none,yes,good
less 0,18,critical/other existing credit,repairs,1190,less 100,unemployed,2,female div/dep/mar,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes,bad
no checking,5,existing paid,business,3448,less 100,between 4 and 7 years,1,male single,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,existing paid,other,11328,less 100,between 1 and 4 years,2,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,6,critical/other existing credit,furniture/equipment,1872,less 100,unemployed,4,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,critical/other existing credit,repairs,2058,less 100,between 1 and 4 years,4,male div/sep,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good
less 0,9,existing paid,furniture/equipment,2136,less 100,between 1 and 4 years,3,male single,none,2,real estate,25,none,own,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,1484,no known savings,between 1 and 4 years,2,male mar/wid,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad
no checking,6,existing paid,repairs,660,between 500 and 1000,between 4 and 7 years,2,male mar/wid,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,good
no checking,24,critical/other existing credit,new car,1287,greater 1000,greater 7 years,4,female div/dep/mar,none,4,real estate,37,none,own,2,skilled,1,yes,yes,good
less 0,42,critical/other existing credit,repairs,3394,less 100,unemployed,4,male single,co applicant,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good
greater 200,12,all paid,business,609,less 100,less 1 year,4,female div/dep/mar,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,bad
no checking,12,existing paid,new car,1884,less 100,greater 7 years,4,male single,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,existing paid,furniture/equipment,1620,less 100,between 1 and 4 years,2,female div/dep/mar,co applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,good
between 0 and 200,20,delayed previously,other,2629,less 100,between 1 and 4 years,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
no checking,12,existing paid,education,719,less 100,greater 7 years,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
between 0 and 200,48,critical/other existing credit,furniture/equipment,5096,less 100,between 1 and 4 years,2,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,9,critical/other existing credit,education,1244,no known savings,greater 7 years,4,female div/dep/mar,none,4,life insurance,41,none,rent,2,unskilled resident,1,none,yes,good
less 0,36,existing paid,new car,1842,less 100,less 1 year,4,female div/dep/mar,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
between 0 and 200,7,existing paid,radio/tv,2576,less 100,between 1 and 4 years,2,male single,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,good
greater 200,12,existing paid,furniture/equipment,1424,no known savings,greater 7 years,3,female div/dep/mar,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,15,delayed previously,repairs,1512,greater 1000,between 1 and 4 years,3,male mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad
no checking,36,critical/other existing credit,used car,11054,no known savings,between 1 and 4 years,4,male single,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,6,existing paid,radio/tv,518,less 100,between 1 and 4 years,3,female div/dep/mar,none,1,real estate,29,none,own,1,skilled,1,none,yes,good
no checking,12,no credits/all paid,furniture/equipment,2759,less 100,greater 7 years,2,male single,none,4,life insurance,34,none,own,2,skilled,1,none,yes,good
no checking,24,existing paid,used car,2670,less 100,greater 7 years,4,male single,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,24,existing paid,new car,4817,less 100,between 4 and 7 years,2,male single,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,bad
no checking,24,existing paid,used car,2679,less 100,less 1 year,4,female div/dep/mar,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,11,critical/other existing credit,new car,3905,less 100,between 1 and 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
less 0,12,existing paid,used car,3386,less 100,greater 7 years,3,male single,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad
less 0,6,existing paid,domestic appliance,343,less 100,less 1 year,4,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,18,existing paid,radio/tv,4594,less 100,less 1 year,3,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
less 0,36,existing paid,furniture/equipment,3620,less 100,between 1 and 4 years,1,male single,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,good
less 0,15,existing paid,new car,1721,less 100,less 1 year,2,male single,none,3,real estate,36,none,own,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,furniture/equipment,3017,less 100,less 1 year,3,female div/dep/mar,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good
between 0 and 200,12,existing paid,retraining,754,no known savings,greater 7 years,4,male single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,business,1950,less 100,between 4 and 7 years,4,male single,none,1,car,34,stores,own,2,skilled,1,yes,yes,good
less 0,24,existing paid,used car,2924,less 100,between 1 and 4 years,3,male single,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good
less 0,24,delayed previously,radio/tv,1659,less 100,less 1 year,4,female div/dep/mar,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,bad
no checking,48,delayed previously,radio/tv,7238,no known savings,greater 7 years,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,good
no checking,33,delayed previously,business,2764,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,yes,yes,good
no checking,24,delayed previously,used car,4679,less 100,between 4 and 7 years,3,male single,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,good
between 0 and 200,24,existing paid,radio/tv,3092,between 100 and 500,less 1 year,3,male mar/wid,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
less 0,6,existing paid,education,448,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,none,yes,bad
less 0,9,existing paid,new car,654,less 100,between 1 and 4 years,4,male single,none,3,car,28,none,own,1,unskilled resident,1,none,yes,bad
no checking,6,existing paid,retraining,1238,no known savings,unemployed,4,male single,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
between 0 and 200,18,critical/other existing credit,radio/tv,1245,less 100,between 1 and 4 years,4,male mar/wid,none,2,car,33,none,own,1,skilled,1,none,yes,bad
less 0,18,no credits/all paid,furniture/equipment,3114,less 100,less 1 year,1,female div/dep/mar,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,bad
no checking,39,existing paid,used car,2569,between 500 and 1000,between 1 and 4 years,4,male single,none,4,car,24,none,own,1,skilled,1,none,yes,good
greater 200,24,existing paid,radio/tv,5152,less 100,between 4 and 7 years,4,male single,none,2,car,25,bank,own,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,business,1037,between 100 and 500,between 4 and 7 years,3,male single,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,good
less 0,15,critical/other existing credit,furniture/equipment,1478,less 100,greater 7 years,4,male single,none,4,car,44,none,own,2,skilled,2,yes,yes,good
between 0 and 200,12,critical/other existing credit,radio/tv,3573,less 100,between 1 and 4 years,1,female div/dep/mar,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,existing paid,new car,1201,less 100,less 1 year,4,male single,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good
less 0,30,existing paid,furniture/equipment,3622,greater 1000,greater 7 years,4,female div/dep/mar,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good
no checking,15,delayed previously,furniture/equipment,960,greater 1000,between 4 and 7 years,3,female div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,new car,1163,between 500 and 1000,between 1 and 4 years,4,male single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good
between 0 and 200,6,delayed previously,new car,1209,less 100,unemployed,4,male single,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,12,existing paid,radio/tv,3077,less 100,between 1 and 4 years,2,male single,none,4,car,52,none,own,1,skilled,1,yes,yes,good
no checking,24,existing paid,new car,3757,less 100,greater 7 years,4,female div/dep/mar,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good
no checking,10,existing paid,new car,1418,between 100 and 500,between 1 and 4 years,3,male single,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,good
no checking,6,existing paid,new car,3518,less 100,between 1 and 4 years,2,male single,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,1934,less 100,greater 7 years,2,male single,none,2,no known property,26,none,own,2,skilled,1,none,yes,good
between 0 and 200,27,no credits/all paid,business,8318,less 100,greater 7 years,2,female div/dep/mar,none,4,no known property,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,6,critical/other existing credit,radio/tv,1237,between 100 and 500,between 1 and 4 years,1,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
between 0 and 200,6,existing paid,radio/tv,368,no known savings,greater 7 years,4,male single,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good
less 0,12,critical/other existing credit,new car,2122,less 100,between 1 and 4 years,3,male single,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,good
less 0,24,existing paid,furniture/equipment,2996,no known savings,between 1 and 4 years,2,male mar/wid,none,4,car,20,none,own,1,skilled,1,none,yes,bad
between 0 and 200,36,existing paid,furniture/equipment,9034,between 100 and 500,less 1 year,4,male single,co applicant,1,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,critical/other existing credit,furniture/equipment,1585,less 100,between 4 and 7 years,4,male single,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good
between 0 and 200,18,existing paid,radio/tv,1301,less 100,greater 7 years,4,male mar/wid,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,good
greater 200,6,critical/other existing credit,new car,1323,between 100 and 500,greater 7 years,2,male div/sep,none,4,car,28,none,own,2,skilled,2,yes,yes,good
less 0,24,existing paid,new car,3123,less 100,less 1 year,4,female div/dep/mar,none,1,life insurance,27,none,own,1,skilled,1,none,yes,bad
less 0,36,existing paid,used car,5493,less 100,greater 7 years,2,male single,none,4,no known property,42,none,for free,1,skilled,2,none,yes,good
greater 200,9,existing paid,radio/tv,1126,between 100 and 500,greater 7 years,2,male div/sep,none,4,real estate,49,none,own,1,skilled,1,none,yes,good
between 0 and 200,24,critical/other existing credit,radio/tv,1216,between 100 and 500,less 1 year,4,male single,none,4,no known property,38,bank,own,2,skilled,2,none,yes,bad
less 0,24,existing paid,new car,1207,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
no checking,10,existing paid,new car,1309,no known savings,between 1 and 4 years,4,male single,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,bad
greater 200,15,critical/other existing credit,used car,2360,between 500 and 1000,between 1 and 4 years,2,male single,none,2,car,36,none,own,1,skilled,1,yes,yes,good
between 0 and 200,15,all paid,new car,6850,between 100 and 500,unemployed,1,male single,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
no checking,24,existing paid,radio/tv,1413,less 100,between 1 and 4 years,4,male mar/wid,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good
no checking,39,existing paid,used car,8588,between 100 and 500,greater 7 years,4,male single,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,existing paid,new car,759,less 100,between 4 and 7 years,4,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,bad
no checking,36,existing paid,used car,4686,less 100,between 1 and 4 years,2,male single,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,15,existing paid,business,2687,less 100,between 4 and 7 years,2,male single,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,12,delayed previously,radio/tv,585,less 100,between 1 and 4 years,4,male mar/wid,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,good
no checking,24,existing paid,new car,2255,no known savings,less 1 year,4,male single,none,1,life insurance,54,none,own,1,skilled,1,none,yes,good
less 0,6,critical/other existing credit,new car,609,less 100,between 4 and 7 years,4,female div/dep/mar,none,3,life insurance,37,none,own,2,skilled,1,none,no,good
less 0,6,critical/other existing credit,new car,1361,less 100,less 1 year,2,male single,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,good
no checking,36,critical/other existing credit,furniture/equipment,7127,less 100,less 1 year,2,female div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad
less 0,6,existing paid,new car,1203,between 100 and 500,greater 7 years,3,male single,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good
no checking,6,critical/other existing credit,radio/tv,700,no known savings,greater 7 years,4,male single,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good
no checking,24,critical/other existing credit,repairs,5507,less 100,greater 7 years,3,male single,none,4,no known property,44,none,for free,2,skilled,1,none,yes,good
less 0,18,existing paid,radio/tv,3190,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad
less 0,48,no credits/all paid,furniture/equipment,7119,less 100,between 1 and 4 years,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
no checking,24,existing paid,used car,3488,between 100 and 500,between 4 and 7 years,3,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,good
between 0 and 200,18,existing paid,radio/tv,1113,less 100,between 1 and 4 years,4,female div/dep/mar,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,good
between 0 and 200,26,existing paid,used car,7966,less 100,less 1 year,2,male single,none,3,car,30,none,own,2,skilled,1,none,yes,good
no checking,15,critical/other existing credit,education,1532,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,none,3,car,31,none,own,1,skilled,1,none,yes,good
no checking,4,critical/other existing credit,radio/tv,1503,less 100,between 4 and 7 years,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,good
less 0,36,existing paid,radio/tv,2302,less 100,between 1 and 4 years,4,male div/sep,none,4,car,31,none,rent,1,skilled,1,none,yes,bad
less 0,6,existing paid,new car,662,less 100,less 1 year,3,male single,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,good
between 0 and 200,36,existing paid,education,2273,less 100,between 4 and 7 years,3,male single,none,1,car,32,none,own,2,skilled,2,none,yes,good
between 0 and 200,15,existing paid,new car,2631,between 100 and 500,between 1 and 4 years,2,female div/dep/mar,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
no checking,12,delayed previously,used car,1503,less 100,between 1 and 4 years,4,male mar/wid,none,4,real estate,41,none,rent,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,1311,between 100 and 500,between 4 and 7 years,4,male mar/wid,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,good
no checking,24,existing paid,radio/tv,3105,no known savings,less 1 year,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,good
greater 200,21,critical/other existing credit,education,2319,less 100,less 1 year,2,male div/sep,none,1,car,33,none,rent,1,skilled,1,none,yes,bad
less 0,6,existing paid,new car,1374,no known savings,unemployed,4,female div/dep/mar,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,18,critical/other existing credit,furniture/equipment,3612,less 100,greater 7 years,3,female div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,good
less 0,48,existing paid,new car,7763,less 100,greater 7 years,4,male single,none,4,no known property,42,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
greater 200,18,existing paid,furniture/equipment,3049,less 100,less 1 year,1,female div/dep/mar,none,1,life insurance,45,stores,own,1,unskilled resident,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,1534,less 100,less 1 year,1,male mar/wid,none,1,real estate,23,none,rent,1,skilled,1,none,yes,bad
no checking,24,delayed previously,new car,2032,less 100,greater 7 years,4,male single,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,good
less 0,30,existing paid,furniture/equipment,6350,no known savings,greater 7 years,4,male single,none,4,life insurance,31,none,own,1,skilled,1,none,yes,bad
greater 200,18,existing paid,furniture/equipment,2864,less 100,between 1 and 4 years,2,male single,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,bad
no checking,12,critical/other existing credit,new car,1255,less 100,greater 7 years,4,male single,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,good
less 0,24,delayed previously,new car,1333,less 100,unemployed,4,male single,none,2,real estate,43,none,for free,2,skilled,2,none,yes,bad
no checking,24,critical/other existing credit,new car,2022,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,car,37,none,own,1,skilled,1,yes,yes,good
no checking,24,existing paid,radio/tv,1552,less 100,between 4 and 7 years,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,good
less 0,12,all paid,radio/tv,626,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,bad
no checking,48,critical/other existing credit,used car,8858,no known savings,between 4 and 7 years,2,male single,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,repairs,996,no known savings,between 4 and 7 years,4,female div/dep/mar,none,4,real estate,23,none,own,2,skilled,1,none,yes,good
no checking,6,all paid,radio/tv,1750,between 500 and 1000,greater 7 years,2,male single,none,4,life insurance,45,bank,own,1,unskilled resident,2,none,yes,good
less 0,48,existing paid,radio/tv,6999,less 100,between 4 and 7 years,1,male mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad
between 0 and 200,12,critical/other existing credit,new car,1995,between 100 and 500,less 1 year,4,male single,none,1,car,27,none,own,1,skilled,1,none,yes,good
between 0 and 200,9,existing paid,education,1199,less 100,between 4 and 7 years,4,female div/dep/mar,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,12,existing paid,radio/tv,1331,less 100,less 1 year,2,male single,none,1,car,22,stores,own,1,skilled,1,none,yes,bad
between 0 and 200,18,no credits/all paid,new car,2278,between 100 and 500,less 1 year,3,female div/dep/mar,none,3,car,28,none,own,2,skilled,1,none,yes,bad
no checking,21,no credits/all paid,new car,5003,no known savings,between 1 and 4 years,1,female div/dep/mar,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad
less 0,24,all paid,furniture/equipment,3552,less 100,between 4 and 7 years,3,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,bad
between 0 and 200,18,critical/other existing credit,furniture/equipment,1928,less 100,less 1 year,2,male single,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,bad
less 0,24,existing paid,used car,2964,no known savings,greater 7 years,4,male single,none,4,no known property,49,bank,for free,1,skilled,2,yes,yes,good
