,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
305,less 0,36.0,existing paid,furniture/equipment,2712.0,less 100,greater 7 years,2.0,male single,none,2.0,life insurance,41.0,bank,own,1.0,skilled,2.0,none,yes,bad
306,less 0,10.0,critical/other existing credit,new car,1038.0,less 100,between 4 and 7 years,4.0,male single,co applicant,3.0,life insurance,49.0,none,own,2.0,skilled,1.0,yes,yes,good
307,between 0 and 200,9.0,critical/other existing credit,education,1136.0,greater 1000,greater 7 years,4.0,male single,none,3.0,no known property,32.0,none,for free,2.0,skilled,2.0,none,yes,bad
308,between 0 and 200,21.0,existing paid,business,2767.0,between 100 and 500,greater 7 years,4.0,male div/sep,none,2.0,car,61.0,bank,rent,2.0,unskilled resident,1.0,none,yes,bad
309,less 0,12.0,existing paid,domestic appliance,741.0,between 100 and 500,unemployed,4.0,female div/dep/mar,none,3.0,life insurance,22.0,none,own,1.0,skilled,1.0,none,yes,bad
310,between 0 and 200,6.000000000000002,existing paid,radio/tv,368.0,no known savings,greater 7 years,4.0,male single,none,4.0,life insurance,38.0,none,own,1.0,skilled,1.0,none,yes,good
311,no checking,60.0,existing paid,new car,10366.0,less 100,greater 7 years,2.0,male single,none,4.0,life insurance,42.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
312,between 0 and 200,24.0,critical/other existing credit,furniture/equipment,4736.0,less 100,less 1 year,2.0,female div/dep/mar,none,4.0,car,25.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
313,between 0 and 200,72.0,existing paid,radio/tv,5595.0,between 100 and 500,between 1 and 4 years,2.0,male mar/wid,none,2.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,bad
314,between 0 and 200,18.0,existing paid,radio/tv,1301.0,less 100,greater 7 years,4.0,male mar/wid,guarantor,2.0,real estate,32.0,none,own,1.0,unskilled resident,1.0,none,yes,good
315,between 0 and 200,18.0,critical/other existing credit,business,1887.0,no known savings,between 1 and 4 years,4.0,male mar/wid,none,4.0,real estate,28.0,bank,own,2.0,skilled,1.0,none,yes,good
316,no checking,18.0,existing paid,new car,6761.0,no known savings,between 1 and 4 years,2.0,male single,none,4.0,car,68.0,none,rent,2.0,skilled,1.0,none,yes,bad
317,greater 200,6.000000000000002,delayed previously,radio/tv,683.0,less 100,less 1 year,2.0,female div/dep/mar,none,1.0,life insurance,29.0,bank,own,1.0,skilled,1.0,none,yes,good
318,no checking,18.0,existing paid,radio/tv,2051.0,less 100,less 1 year,4.0,male single,none,1.0,real estate,33.0,none,own,1.0,skilled,1.0,none,yes,good
319,less 0,8.0,critical/other existing credit,new car,731.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,47.0,none,own,2.0,unskilled resident,1.0,none,yes,good
320,between 0 and 200,12.0,existing paid,used car,2028.0,no known savings,between 1 and 4 years,4.0,male single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,good
321,less 0,39.0,critical/other existing credit,furniture/equipment,14179.0,no known savings,between 4 and 7 years,4.0,male single,none,4.0,life insurance,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
322,between 0 and 200,12.0,existing paid,radio/tv,1331.0000000000002,less 100,less 1 year,2.0,male single,none,1.0,car,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
323,less 0,6.000000000000002,critical/other existing credit,furniture/equipment,1872.0,less 100,unemployed,4.0,male single,none,4.0,no known property,36.0,none,for free,3.0,high qualif/self emp/mgmt,1.0,yes,yes,good
324,less 0,12.0,existing paid,new car,1893.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,guarantor,4.0,life insurance,29.0,none,own,1.0,skilled,1.0,yes,yes,good
325,no checking,24.0,critical/other existing credit,radio/tv,2578.0,greater 1000,greater 7 years,2.0,male single,none,2.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,good
326,less 0,12.0,existing paid,furniture/equipment,3590.0,less 100,between 1 and 4 years,2.0,male single,co applicant,2.0,life insurance,29.0,none,own,1.0,unskilled resident,2.0,none,yes,good
327,between 0 and 200,24.0,existing paid,used car,12579.0,less 100,greater 7 years,4.0,female div/dep/mar,none,2.0,no known property,44.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
328,less 0,30.0,critical/other existing credit,used car,10623.0,less 100,greater 7 years,3.0,male single,none,4.0,no known property,38.0,none,for free,3.0,high qualif/self emp/mgmt,2.0,yes,yes,good
329,no checking,10.0,existing paid,new car,1417.9999999999998,between 100 and 500,between 1 and 4 years,3.0,male single,none,2.0,real estate,35.0,none,rent,1.0,unskilled resident,1.0,none,no,good
330,greater 200,12.0,all paid,business,609.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,real estate,26.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
331,no checking,12.0,critical/other existing credit,radio/tv,1655.0,less 100,greater 7 years,2.0,male single,none,4.0,real estate,63.0,none,own,2.0,unskilled resident,1.0,yes,yes,good
332,no checking,10.0,existing paid,retraining,894.0,no known savings,between 4 and 7 years,4.0,female div/dep/mar,none,3.0,life insurance,40.0,none,own,1.0,skilled,1.0,yes,yes,good
333,between 0 and 200,12.0,existing paid,new car,1318.0000000000002,greater 1000,greater 7 years,4.0,male single,none,4.0,real estate,54.0,none,own,1.0,skilled,1.0,yes,yes,good
334,no checking,12.0,critical/other existing credit,business,2292.0,less 100,unemployed,4.0,male single,none,2.0,car,42.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
335,between 0 and 200,6.000000000000002,existing paid,new car,14555.0,no known savings,unemployed,1.0,male single,none,2.0,life insurance,23.0,none,own,1.0,unemp/unskilled non res,1.0,yes,yes,bad
336,no checking,36.0,delayed previously,new car,10875.0,less 100,greater 7 years,2.0,male single,none,2.0,car,45.0,none,own,2.0,skilled,2.0,yes,yes,good
337,between 0 and 200,18.0,existing paid,new car,1042.0,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,life insurance,33.0,none,own,1.0,skilled,1.0,none,yes,bad
338,no checking,6.000000000000002,critical/other existing credit,radio/tv,1898.0,no known savings,between 1 and 4 years,1.0,male single,none,2.0,real estate,34.0,none,own,2.0,unskilled resident,2.0,none,yes,good
339,no checking,12.0,critical/other existing credit,education,2012.0,no known savings,between 4 and 7 years,4.0,female div/dep/mar,none,2.0,car,61.0,none,own,1.0,skilled,1.0,none,yes,good
340,less 0,6.000000000000002,existing paid,new car,1374.0,no known savings,unemployed,4.0,female div/dep/mar,none,3.0,life insurance,75.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
341,no checking,15.0,existing paid,used car,1300.0,no known savings,greater 7 years,4.0,male single,none,4.0,no known property,45.0,bank,for free,1.0,skilled,2.0,none,yes,good
342,no checking,15.0,existing paid,radio/tv,3568.0,less 100,greater 7 years,4.0,female div/dep/mar,none,2.0,car,54.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
343,less 0,48.0,all paid,business,7685.0,less 100,between 4 and 7 years,2.0,female div/dep/mar,guarantor,4.0,car,37.0,none,rent,1.0,skilled,1.0,none,yes,bad
344,less 0,30.0,existing paid,radio/tv,2522.0,less 100,greater 7 years,1.0,male single,guarantor,3.0,life insurance,39.0,none,own,1.0,skilled,2.0,none,yes,good
345,less 0,24.0,all paid,new car,2325.0,between 100 and 500,between 4 and 7 years,2.0,male single,none,3.0,car,32.0,bank,own,1.0,skilled,1.0,none,yes,good
346,between 0 and 200,48.0,delayed previously,other,7582.0,between 100 and 500,unemployed,2.0,male single,none,4.0,no known property,31.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
347,no checking,21.0,critical/other existing credit,furniture/equipment,2288.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,life insurance,23.0,none,own,1.0,skilled,1.0,yes,yes,good
348,no checking,12.0,existing paid,furniture/equipment,1574.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,real estate,50.0,none,own,1.0,skilled,1.0,none,yes,good
349,no checking,24.0,delayed previously,business,8648.0,less 100,less 1 year,2.0,male single,none,2.0,car,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
350,no checking,24.0,existing paid,new car,1474.0,between 100 and 500,less 1 year,4.0,male mar/wid,none,3.0,real estate,33.0,none,own,1.0,skilled,1.0,yes,yes,good
351,less 0,48.0,existing paid,radio/tv,6999.0,less 100,between 4 and 7 years,1.0,male mar/wid,guarantor,1.0,real estate,34.0,none,own,2.0,skilled,1.0,yes,yes,bad
352,no checking,24.0,critical/other existing credit,radio/tv,1516.0,greater 1000,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,real estate,43.0,none,own,2.0,unskilled resident,1.0,none,yes,good
353,between 0 and 200,36.0,delayed previously,new car,2225.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,57.0,bank,for free,2.0,skilled,1.0,yes,yes,bad
354,no checking,39.0,existing paid,used car,2569.0,between 500 and 1000,between 1 and 4 years,4.0,male single,none,4.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
355,no checking,36.0,critical/other existing credit,used car,11054.0,no known savings,between 1 and 4 years,4.0,male single,none,2.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
356,no checking,12.0,critical/other existing credit,business,1412.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,guarantor,2.0,real estate,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
357,greater 200,6.000000000000002,critical/other existing credit,new car,1299.0,less 100,between 1 and 4 years,1.0,male single,none,1.0,real estate,74.0,none,own,3.0,unemp/unskilled non res,2.0,none,no,good
358,less 0,45.0,no credits/all paid,business,11816.0,less 100,greater 7 years,2.0,male single,none,4.0,car,29.0,none,rent,2.0,skilled,1.0,none,yes,bad
359,less 0,30.0,no credits/all paid,furniture/equipment,4583.0,less 100,between 1 and 4 years,2.0,male div/sep,guarantor,2.0,real estate,32.0,none,own,2.0,skilled,1.0,none,yes,good
360,greater 200,12.0,existing paid,furniture/equipment,1474.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,life insurance,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
361,between 0 and 200,9.0,existing paid,radio/tv,458.0,less 100,between 1 and 4 years,4.0,male single,none,3.0,real estate,24.0,none,own,1.0,skilled,1.0,none,yes,good
362,between 0 and 200,9.0,critical/other existing credit,radio/tv,1154.0,less 100,greater 7 years,2.0,male single,none,4.0,real estate,37.0,none,own,3.0,unskilled resident,1.0,none,yes,good
363,less 0,18.0,critical/other existing credit,new car,3966.0,less 100,greater 7 years,1.0,female div/dep/mar,none,4.0,real estate,33.0,bank,rent,3.0,skilled,1.0,yes,yes,bad
364,between 0 and 200,42.0,all paid,used car,9283.0,less 100,unemployed,1.0,male single,none,2.0,no known property,55.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
365,no checking,24.0,existing paid,furniture/equipment,5511.0,between 100 and 500,between 1 and 4 years,4.0,male single,none,1.0,car,25.0,stores,own,1.0,skilled,1.0,none,yes,good
366,between 0 and 200,12.0,existing paid,new car,836.0,between 100 and 500,less 1 year,4.0,female div/dep/mar,none,2.0,life insurance,23.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
367,no checking,24.0,critical/other existing credit,used car,3868.0,less 100,greater 7 years,4.0,female div/dep/mar,none,2.0,car,41.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
368,less 0,18.0,critical/other existing credit,repairs,1190.0000000000002,less 100,unemployed,2.0,female div/dep/mar,none,4.0,no known property,55.0,none,for free,3.0,unemp/unskilled non res,2.0,none,yes,bad
369,no checking,18.0,critical/other existing credit,furniture/equipment,1817.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,no known property,28.0,none,own,2.0,skilled,1.0,none,yes,good
370,less 0,24.0,existing paid,furniture/equipment,3234.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.0,none,rent,1.0,unskilled resident,1.0,yes,yes,bad
371,no checking,6.000000000000002,no credits/all paid,new car,1204.0,between 100 and 500,between 1 and 4 years,4.0,male single,none,1.0,no known property,35.0,bank,rent,1.0,skilled,1.0,none,no,good
372,less 0,18.0,existing paid,new car,4380.0,between 100 and 500,between 1 and 4 years,3.0,male single,none,4.0,car,35.0,none,own,1.0,unskilled resident,2.0,yes,yes,good
373,no checking,6.000000000000002,critical/other existing credit,radio/tv,1554.0,less 100,between 4 and 7 years,1.0,female div/dep/mar,none,2.0,car,24.0,none,rent,2.0,skilled,1.0,yes,yes,good
374,less 0,12.0,existing paid,radio/tv,2214.0,less 100,between 1 and 4 years,4.0,male single,none,3.0,life insurance,24.0,none,own,1.0,unskilled resident,1.0,none,yes,good
375,between 0 and 200,9.0,existing paid,radio/tv,1082.0,less 100,greater 7 years,4.0,male single,none,4.0,car,27.0,none,own,2.0,unskilled resident,1.0,none,yes,good
376,between 0 and 200,24.0,existing paid,radio/tv,1967.0,less 100,greater 7 years,4.0,female div/dep/mar,none,4.0,car,20.0,none,own,1.0,skilled,1.0,yes,yes,good
377,less 0,15.0,existing paid,furniture/equipment,1845.0,less 100,less 1 year,4.0,female div/dep/mar,guarantor,1.0,life insurance,46.0,none,rent,1.0,skilled,1.0,none,yes,good
378,no checking,18.0,critical/other existing credit,radio/tv,1149.0,greater 1000,between 1 and 4 years,4.0,male single,none,3.0,real estate,46.0,none,own,2.0,skilled,1.0,none,yes,good
379,no checking,24.0,critical/other existing credit,radio/tv,2872.0,between 100 and 500,greater 7 years,3.0,male single,none,4.0,real estate,36.0,none,own,1.0,skilled,2.0,yes,yes,good
380,no checking,24.0,existing paid,new car,1249.0,less 100,less 1 year,4.0,male mar/wid,none,2.0,real estate,28.0,none,own,1.0,skilled,1.0,none,yes,good
381,less 0,11.0,critical/other existing credit,new car,3905.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,real estate,36.0,none,rent,2.0,skilled,2.0,none,yes,good
382,less 0,48.0,existing paid,used car,4788.0,less 100,between 4 and 7 years,4.0,male single,none,3.0,life insurance,26.0,none,own,1.0,skilled,2.0,none,yes,good
383,less 0,30.0,no credits/all paid,business,8072.0,no known savings,less 1 year,2.0,male single,none,3.0,car,25.0,bank,own,3.0,skilled,1.0,none,yes,good
384,less 0,24.0,existing paid,furniture/equipment,1747.0,less 100,less 1 year,4.0,male single,co applicant,1.0,life insurance,24.0,none,own,1.0,unskilled resident,1.0,none,no,good
385,no checking,18.0,existing paid,furniture/equipment,1532.9999999999998,less 100,less 1 year,4.0,male mar/wid,co applicant,1.0,life insurance,43.0,none,own,1.0,unskilled resident,2.0,none,yes,bad
386,no checking,9.0,existing paid,radio/tv,1478.0,less 100,between 4 and 7 years,4.0,male single,none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,bad
387,less 0,12.0,existing paid,education,684.0,less 100,between 1 and 4 years,4.0,male single,none,4.0,car,40.0,none,rent,1.0,unskilled resident,2.0,none,yes,bad
388,no checking,36.0,delayed previously,used car,8947.0,no known savings,between 4 and 7 years,3.0,male single,none,2.0,car,31.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
389,less 0,24.0,existing paid,furniture/equipment,3021.0,less 100,between 1 and 4 years,2.0,male div/sep,none,2.0,real estate,24.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
390,between 0 and 200,9.0,existing paid,radio/tv,1206.0,less 100,greater 7 years,4.0,female div/dep/mar,none,4.0,real estate,25.0,none,own,1.0,skilled,1.0,none,yes,good
391,less 0,6.000000000000002,critical/other existing credit,new car,860.0,less 100,greater 7 years,1.0,female div/dep/mar,none,4.0,no known property,39.0,none,own,2.0,skilled,1.0,yes,yes,good
392,between 0 and 200,18.0,critical/other existing credit,business,3590.0,less 100,unemployed,3.0,male mar/wid,none,3.0,car,40.0,none,own,3.0,unemp/unskilled non res,2.0,yes,yes,good
393,no checking,48.0,critical/other existing credit,new car,10127.0,between 500 and 1000,between 1 and 4 years,2.0,male single,none,2.0,no known property,44.0,bank,for free,1.0,skilled,1.0,none,yes,bad
394,no checking,4.0,existing paid,furniture/equipment,601.0,less 100,less 1 year,1.0,female div/dep/mar,none,3.0,real estate,23.0,none,rent,1.0,unskilled resident,2.0,none,yes,good
395,less 0,12.0,existing paid,furniture/equipment,2578.0,less 100,unemployed,3.0,female div/dep/mar,none,4.0,no known property,55.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
396,no checking,20.0,critical/other existing credit,new car,3485.0,no known savings,less 1 year,2.0,male div/sep,none,4.0,real estate,44.0,none,own,2.0,skilled,1.0,yes,yes,good
397,no checking,12.0,critical/other existing credit,radio/tv,522.0,between 500 and 1000,greater 7 years,4.0,male single,none,4.0,life insurance,42.0,none,own,2.0,skilled,2.0,yes,yes,good
398,no checking,24.0,delayed previously,business,3863.0,less 100,between 1 and 4 years,1.0,male single,none,2.0,no known property,32.0,none,for free,1.0,skilled,1.0,none,yes,good
399,less 0,18.0,existing paid,education,750.0,less 100,unemployed,4.0,female div/dep/mar,none,1.0,real estate,27.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
400,between 0 and 200,12.0,delayed previously,radio/tv,585.0,less 100,between 1 and 4 years,4.0,male mar/wid,co applicant,4.0,real estate,20.0,none,rent,2.0,skilled,1.0,none,yes,good
401,no checking,48.0,critical/other existing credit,business,7629.0,no known savings,greater 7 years,4.0,male div/sep,none,2.0,car,46.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,none,yes,good
402,no checking,10.0,existing paid,used car,2901.0,no known savings,less 1 year,1.0,female div/dep/mar,none,4.0,real estate,31.0,none,rent,1.0,skilled,1.0,none,yes,good
403,no checking,6.000000000000002,critical/other existing credit,radio/tv,1237.0,between 100 and 500,between 1 and 4 years,1.0,female div/dep/mar,none,1.0,life insurance,27.0,none,own,2.0,skilled,1.0,none,yes,good
404,less 0,12.0,all paid,new car,697.0,less 100,less 1 year,4.0,male single,none,2.0,car,46.0,bank,own,2.0,skilled,1.0,yes,yes,bad
405,no checking,28.0,critical/other existing credit,radio/tv,2743.0,less 100,greater 7 years,4.0,male single,none,2.0,car,29.0,none,own,2.0,skilled,1.0,none,yes,good
406,no checking,36.0,existing paid,radio/tv,3595.0,less 100,greater 7 years,4.0,male single,none,2.0,car,28.0,none,own,1.0,skilled,1.0,none,yes,good
407,greater 200,24.0,critical/other existing credit,business,1275.0,greater 1000,between 1 and 4 years,2.0,male div/sep,none,4.0,real estate,36.0,none,own,2.0,skilled,1.0,yes,yes,good
408,between 0 and 200,6.000000000000002,all paid,new car,931.0,between 100 and 500,less 1 year,1.0,female div/dep/mar,none,1.0,life insurance,32.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
409,no checking,21.0,critical/other existing credit,new car,12680.0,no known savings,greater 7 years,4.0,male single,none,4.0,no known property,30.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
410,between 0 and 200,36.0,delayed previously,business,4455.0,less 100,between 1 and 4 years,2.0,male div/sep,none,2.0,real estate,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
411,between 0 and 200,8.0,existing paid,radio/tv,1414.0,less 100,between 1 and 4 years,4.0,male single,guarantor,2.0,real estate,33.0,none,own,1.0,skilled,1.0,none,no,good
412,between 0 and 200,48.0,all paid,business,6416.0,less 100,greater 7 years,4.0,female div/dep/mar,none,3.0,no known property,59.0,none,rent,1.0,skilled,1.0,none,yes,bad
413,less 0,12.0,existing paid,radio/tv,1107.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,real estate,20.0,none,rent,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
414,no checking,15.0,existing paid,furniture/equipment,2708.0,less 100,less 1 year,2.0,male single,none,3.0,life insurance,27.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
415,between 0 and 200,12.0,existing paid,radio/tv,1155.0,less 100,greater 7 years,3.0,male mar/wid,guarantor,3.0,real estate,40.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
416,no checking,24.0,delayed previously,new car,2032.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,60.0,none,for free,2.0,skilled,1.0,yes,yes,good
417,less 0,36.0,existing paid,furniture/equipment,3620.0,less 100,between 1 and 4 years,1.0,male single,guarantor,2.0,life insurance,37.0,none,own,1.0,skilled,2.0,none,yes,good
418,less 0,36.0,critical/other existing credit,education,8065.0,less 100,between 1 and 4 years,3.0,female div/dep/mar,none,2.0,no known property,25.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
419,no checking,48.0,existing paid,business,3914.0,no known savings,between 1 and 4 years,4.0,male div/sep,none,2.0,real estate,38.0,bank,own,1.0,skilled,1.0,none,yes,bad
420,no checking,12.0,existing paid,business,1076.0,less 100,between 1 and 4 years,2.0,male mar/wid,none,2.0,real estate,26.0,none,own,1.0,skilled,1.0,yes,no,good
421,less 0,6.000000000000002,all paid,education,1198.0,less 100,greater 7 years,4.0,female div/dep/mar,none,4.0,no known property,35.0,none,for free,1.0,skilled,1.0,none,yes,bad
422,less 0,24.0,critical/other existing credit,new car,1199.0,less 100,greater 7 years,4.0,male single,none,4.0,car,60.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
423,no checking,15.0,critical/other existing credit,radio/tv,1459.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,43.0,none,own,1.0,unskilled resident,1.0,none,yes,good
424,no checking,18.0,no credits/all paid,business,4165.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,36.0,stores,own,2.0,skilled,2.0,none,yes,bad
425,between 0 and 200,6.000000000000002,existing paid,radio/tv,753.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,guarantor,3.0,real estate,64.0,none,own,1.0,skilled,1.0,none,yes,good
426,less 0,36.0,critical/other existing credit,furniture/equipment,5371.0,less 100,between 1 and 4 years,3.0,male single,guarantor,2.0,life insurance,28.0,none,own,2.0,skilled,1.0,none,yes,good
427,less 0,33.0,critical/other existing credit,furniture/equipment,4281.0,between 500 and 1000,between 1 and 4 years,1.0,female div/dep/mar,none,4.0,car,23.0,none,own,2.0,skilled,1.0,none,yes,bad
428,less 0,48.0,existing paid,radio/tv,6758.0,less 100,between 1 and 4 years,3.0,female div/dep/mar,none,2.0,car,31.0,none,own,1.0,skilled,1.0,yes,yes,bad
429,no checking,18.0,critical/other existing credit,new car,1055.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,life insurance,30.0,none,own,2.0,skilled,1.0,none,yes,good
430,between 0 and 200,9.0,existing paid,radio/tv,790.0,between 500 and 1000,between 1 and 4 years,4.0,female div/dep/mar,none,3.0,real estate,66.0,none,own,1.0,unskilled resident,1.0,none,yes,good
431,less 0,24.0,existing paid,new car,1207.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,life insurance,24.0,none,rent,1.0,skilled,1.0,none,yes,bad
432,between 0 and 200,18.0,critical/other existing credit,radio/tv,1795.0,less 100,greater 7 years,3.0,female div/dep/mar,guarantor,4.0,real estate,48.0,bank,rent,2.0,unskilled resident,1.0,yes,yes,good
433,no checking,60.0,delayed previously,radio/tv,15653.0,less 100,between 4 and 7 years,2.0,male single,none,4.0,car,21.0,none,own,2.0,skilled,1.0,yes,yes,good
434,less 0,42.0,existing paid,radio/tv,7174.0,no known savings,between 4 and 7 years,4.0,female div/dep/mar,none,3.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
435,no checking,15.0,existing paid,radio/tv,1213.0,between 500 and 1000,greater 7 years,4.0,male single,none,3.0,life insurance,47.0,stores,own,1.0,skilled,1.0,yes,yes,good
436,greater 200,12.0,existing paid,furniture/equipment,1424.0,no known savings,greater 7 years,3.0,female div/dep/mar,none,4.0,real estate,55.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
437,less 0,12.0,existing paid,radio/tv,1498.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,1.0,car,23.0,bank,own,1.0,skilled,1.0,none,yes,good
438,less 0,12.0,existing paid,radio/tv,727.0,between 100 and 500,less 1 year,4.0,male mar/wid,none,3.0,no known property,33.0,none,own,1.0,unskilled resident,1.0,yes,yes,bad
439,less 0,36.0,all paid,furniture/equipment,2746.0,less 100,greater 7 years,4.0,male single,none,4.0,car,31.0,bank,own,1.0,skilled,1.0,none,yes,bad
440,less 0,48.0,existing paid,domestic appliance,3051.0,less 100,between 1 and 4 years,3.0,male single,none,4.0,car,54.0,none,own,1.0,skilled,1.0,none,yes,bad
441,no checking,30.0,existing paid,radio/tv,1867.0,no known savings,greater 7 years,4.0,male single,none,4.0,car,58.0,none,own,1.0,skilled,1.0,yes,yes,good
442,no checking,12.0,critical/other existing credit,radio/tv,976.0,no known savings,greater 7 years,4.0,male single,none,4.0,car,35.0,none,own,2.0,skilled,1.0,none,yes,good
443,between 0 and 200,42.0,critical/other existing credit,business,5954.0,less 100,between 4 and 7 years,2.0,female div/dep/mar,none,1.0,real estate,41.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
444,no checking,15.0,delayed previously,radio/tv,1478.0,less 100,between 1 and 4 years,4.0,male mar/wid,none,3.0,real estate,33.0,bank,own,2.0,skilled,1.0,none,yes,good
445,no checking,28.0,all paid,used car,7824.0,no known savings,less 1 year,3.0,male single,guarantor,4.0,real estate,40.0,bank,rent,2.0,skilled,2.0,yes,yes,good
446,no checking,24.0,existing paid,radio/tv,3181.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,life insurance,26.0,none,own,1.0,skilled,1.0,yes,yes,good
447,less 0,18.0,existing paid,furniture/equipment,4153.0,less 100,between 1 and 4 years,2.0,male single,co applicant,3.0,car,42.0,none,own,1.0,skilled,1.0,none,yes,bad
448,no checking,12.0,existing paid,used car,2445.0,no known savings,less 1 year,2.0,male mar/wid,none,4.0,car,26.0,none,rent,1.0,skilled,1.0,yes,yes,good
449,less 0,15.0,existing paid,business,806.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,4.0,life insurance,22.0,none,own,1.0,unskilled resident,1.0,none,yes,good
450,no checking,12.0,existing paid,radio/tv,3059.0,greater 1000,between 4 and 7 years,2.0,male div/sep,none,4.0,real estate,61.0,none,own,1.0,unskilled resident,1.0,none,yes,good
451,no checking,12.0,critical/other existing credit,education,701.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,32.0,none,own,2.0,skilled,1.0,none,yes,good
452,less 0,15.0,critical/other existing credit,furniture/equipment,1478.0,less 100,greater 7 years,4.0,male single,none,4.0,car,44.0,none,own,2.0,skilled,2.0,yes,yes,good
453,between 0 and 200,48.0,existing paid,radio/tv,3979.0,no known savings,between 4 and 7 years,4.0,male single,none,1.0,car,41.0,none,own,2.0,skilled,2.0,yes,yes,good
454,between 0 and 200,15.0,all paid,new car,1264.0,between 100 and 500,between 1 and 4 years,2.0,male mar/wid,none,2.0,life insurance,25.0,none,rent,1.0,skilled,1.0,none,yes,bad
455,between 0 and 200,30.0,critical/other existing credit,new car,5234.0,less 100,unemployed,4.0,male mar/wid,none,2.0,car,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
456,between 0 and 200,18.0,existing paid,business,1913.0,greater 1000,less 1 year,3.0,male mar/wid,none,3.0,real estate,36.0,bank,own,1.0,skilled,1.0,yes,yes,good
457,no checking,22.0,existing paid,new car,1283.0,no known savings,between 4 and 7 years,4.0,female div/dep/mar,none,4.0,life insurance,25.0,none,rent,1.0,skilled,1.0,none,yes,good
